Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
White Castle ,Burgers/Sandwiches,Burger,Bacon Cheese Slider,220,11,14,13,640,6,0.5,25,1,2
McDonald's,Salad,Salad,Premium Bacon Ranch Salad with Grilled Chicken,230,30,9,10,700,4,0,85,4,5
Burger King,Salad,Salad,Side Garden Salad and Avocado Ranch Dressing,230,5,21,7,520,5,0,30,2,3
White Castle ,Dessert,Dessert,Chocolate Shake  Indianapolis region  kids,230,6,7,42,170,4.5,0,35,1,32
White Castle ,Dessert,Dessert,Chocolate Shake  Louisville region  kids,230,6,7,42,170,4.5,0,35,1,32
White Castle ,Dessert,Dessert,Strawberry Shake  Columbus region  kids,230,6,5,41,220,3.5,0,20,0,39
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Egg, Cheese",230,11,9,29,500,3,0,170,2,4
Burger King,Breakfast,Breakfast,French Toast Sticks (3 piece),230,3,11,29,260,2,0,0,1,8
Wendy's,Breakfast,Breakfast,Seasoned Homestyle Potatoes,230,2,9,34,700,2,0,0,3,0
McDonald's,Side,Side,Small French Fries,230,3,11,29,160,2,0,0,3,0
White Castle ,Breakfast,Breakfast,Waffles (2pc) ,230,3,12,16,180,6,0,0,1,0
White Castle ,Breakfast,Breakfast,Maple & Brown Sugar Oatmeal w/ Honey Roasted Almond Topping,240,7,8,38,270,0.5,0,0,5,13
White Castle ,Burgers/Sandwiches,Chicken,Savory Grilled Chicken Slider  Cheddar Bacon,240,16,12,15,880,3,1,50,1,3
White Castle ,Dessert,Dessert,Chocolate Shake  St. Louis Region  kids,240,5,5,42,75,3.5,0,20,2,31
White Castle ,Dessert,Dessert,Chocolate Shake  Columbus region  kids,240,6,6,42,220,3.5,0,20,0,39
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Bologna, Cheese",240,10,15,14,760,6,0,35,1,3
Burger King,Burgers/Sandwiches,Chicken,Home-style Chicken Strips- 2pc,240,9,13,23,940,3,0,20,0,0
Burger King,Side,Side,French Fries  value (Salted),240,2,10,34,330,2,0,0,3,0
White Castle ,Burgers/Sandwiches,Burger,Double Original Slider,240,12,12,21,660,5,1,20,1,2
Burger King,Burgers/Sandwiches,Burger,Hamburger,240,12,8,31,460,4,0,30,1,7
Burger King,Breakfast,Breakfast,"BKBreakfast Muffin Sandwich bacon, egg and Cheese",250,14,11,22,760,5,0,165,1,2
Burger King,Breakfast,Breakfast,"BKBreakfast Muffin Sandwich ham, egg and Cheese",250,18,9,23,1090,4,0,175,1,3
Wendy's,Salad,Salad,Spicy Chicken Caesar Salad Half-Size,250,18,14,14,520,6,0,45,4,2
McDonald's,Burgers/Sandwiches,Chicken,Honey Mustard Snack Wrap (Grilled),250,16,8,27,650,4,0,45,1,2
McDonald's,Side,Side,Honey Mustard Snack Wrap (Grilled),250,16,8,27,650,4,0,45,1,2
McDonald's,Burgers/Sandwiches,Chicken,Chipotle BBQ Snack Wrap (Grilled),250,16,8,27,670,4,0,40,1,5
McDonald's,Side,Side,Chipotle BBQ Snack Wrap (Grilled),250,16,8,27,670,4,0,40,1,5
White Castle ,Dessert,Dessert,Fudge Dipped Brownie on a Stick,250,2,12,33,95,7,0,35,1,26
Wendy's,Burgers/Sandwiches,Burger,"Hamburger, Kids Meal",250,14,10,25,530,4,1,40,1,5
McDonald's,Dessert,Dessert,Baked Hot Apple Pie,250,2,13,32,170,7,0,0,4,13
Burger King,Breakfast,Breakfast,Hash Browns  small,250,2,16,24,410,4,0,0,3,0
McDonald's,Breakfast,Breakfast,Egg White Delight,250,18,7,32,800,3,0,25,5,3
Wendy's,Burgers/Sandwiches,Burger,Jr. Hamburger,250,14,10,25,600,4,1,40,2,5
McDonald's,Burgers/Sandwiches,Burger,Hamburger,250,12,9,31,480,4,1,25,2,6
McDonald's,Breakfast,Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,5,4,49,115,2,0,5,5,18
White Castle ,Dessert,Dessert,Strawberry Shake  Chicago region  kids,260,6,4,49,170,2.5,0,15,1,43
White Castle ,Dessert,Dessert,Chocolate Shake  Chicago region  kids,260,6,4.5,51,160,2.5,0,15,1,43
Burger King,Burgers/Sandwiches,Burger,WHOPPER JR. Sandwich w/o Mayo,260,13,10,28,440,4,0,35,2,6
Wendy's,Burgers/Sandwiches,Chicken,6-Piece Spicy Chicken Nuggets,260,15,17,14,750,4,0,45,1,0
Wendy's,Burgers/Sandwiches,Chicken,Grilled Chicken Go Wrap,260,19,10,25,740,4,0,55,1,3
Burger King,Breakfast,Breakfast,Quaker Oatmeal Maple and Brown Sugar Flavor*,270,5,4,55,290,2,0,5,5,29
White Castle ,Dessert,Dessert,Chocolate Shake Nashville region  kids,270,6,6,48,110,4,0,20,0,37
Wendy's,Side,Side,Plain Baked Potato (avg. wgt. 10 oz.),270,7,0,61,25,0,0,0,7,3
McDonald's,Side,Chicken,Spicy Chicken McBites Snack Size,270,14,17,18,600,3,0,35,6,0
Wendy's,Burgers/Sandwiches,Chicken,6-Piece Regular Chicken Nuggets,270,14,18,14,520,4,0,45,1,0
McDonald's,Side,Side,Ranch Snack Wrap (Grilled),270,16,12,25,700,4,0,45,1,2
McDonald's,Burgers/Sandwiches,Chicken,Ranch Snack Wrap (Grilled),270,16,12,25,700,4,0,45,1,2
Wendy's,Side,Side,"Rich & Meaty Chili, Large",270,19,8,31,1180,3,1,40,7,8
Wendy's,Breakfast,Breakfast,Sausage & Egg Burrito,270,12,20,12,640,7,0,210,1,1
Wendy's,Breakfast,Breakfast,"Toasted Bagel, Plain",270,9,1,55,540,0,0,0,4,7
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Bologna, Egg",280,14,17,14,680,5.5,0,195,1,3
White Castle ,Burgers/Sandwiches,Burger,Double Jalapeno Cheese Slider,280,15,17,21,860,8,1,30,1,2
McDonald's,Burgers/Sandwiches,Chicken,Chicken McNuggets (6 piece),280,13,18,18,540,3,0,40,1,0
Wendy's,Salad,Salad,Baja Chili Salad Half-Size,280,16,16,18,820,7,0,45,7,6
Burger King,Breakfast,Breakfast,CROISSANWICH Egg & Cheese,280,12,15,25,620,7,0,160,1,4
Burger King,Side,Side,Mozzarella Sticks (4 pc),280,11,15,24,650,5,0,35,2,2
Burger King,Dessert,Dessert,Chocolate Fudge Sundae,280,6,7,50,220,5,0,15,1,43
Wendy's,Dessert,Dessert,"Vanilla Frosty, Small",280,8,7,46,135,5,0,30,0,39
McDonald's,Dessert,Dessert,Strawberry Sundae,280,6,6,49,85,4,0,25,0,45
Burger King,Dessert,Dessert,Caramel Sundae,280,5,6,52,250,4,0,20,0,37
Burger King,Burgers/Sandwiches,Burger,Cheeseburger,280,15,12,32,690,6,0,40,1,7
Wendy's,Breakfast,Breakfast,Oatmeal Bar,280,4,10,46,220,5,0,20,5,24
White Castle ,Burgers/Sandwiches,Chicken,Savory Grilled Chicken Slider  Western BBQ (New Jersey only),290,15,13,29,820,2.5,1,40,1,9
White Castle ,Breakfast,Breakfast,Huevos Rancheros Breakfast toast sandwich w/Bacon,290,14,14,30,760,5,0,180,2,5
McDonald's,Salad,Salad,Premium Southwest Salad with Grilled Chicken,290,27,8,28,650,3,0,70,7,11
Wendy's,Breakfast,Breakfast,Artisan Sandwich with Egg & Cheese,290,15,13,29,530,6,0,235,1,4
White Castle ,Side,Side,Home-style Onion Rings Kids,290,4,19,25,360,3,0,0,1,5
Wendy's,Dessert,Dessert,Vanilla Frosty Waffle Cone,290,7,0,53,160,4,0,20,1,34
Burger King,Breakfast,Breakfast,Sausage Breakfast Burrito,290,14,17,21,830,7,0,140,1,2
Wendy's,Burgers/Sandwiches,Burger,"Cheeseburger, Kids Meal",290,16,13,26,730,6,1,50,1,6
Wendy's,Dessert,Dessert,"Chocolate Frosty, Small",290,8,7,48,135,5,0,30,2,40
Burger King,Burgers/Sandwiches,Chicken,Chicken Nuggets (6 pc),290,15,17,15,460,3,0,40,1,0
McDonald's,Breakfast,Breakfast,Fruit & Maple Oatmeal ,290,5,4,58,160,2,0,5,5,32
Wendy's,Burgers/Sandwiches,Burger,Jr. Cheeseburger,290,16,13,26,800,6,1,50,2,6
Burger King,Burgers/Sandwiches,Burger,WHOPPER JR. Sandwich with Cheese w/o Mayo,300,16,14,660,710,6,0,45,1,6
White Castle ,Dessert,Dessert,Strawberry Shake  Cincinnati region  kids,300,7,8,52,170,5,0,15,0,42
White Castle ,Dessert,Dessert,Vanilla Shake  Cincinnati region  kids,300,7,8,52,170,5,0,15,0,42
Wendy's,Dessert,Dessert,Chocolate Frosty Waffle Cone,300,7,6,54,160,4,0,20,2,35
White Castle ,Burgers/Sandwiches,Burger,Double Cheese Slider,300,15,17,20,940,8,1,30,1,3
Burger King,Breakfast,Breakfast,Cinnabon Roll- One,300,6,11,45,280,5,0,5,2,20
McDonald's,Breakfast,Breakfast,Sausage Burrito,300,12,16,26,790,7,0,115,1,2
McDonald's,Burgers/Sandwiches,Burger,Cheeseburger,300,15,12,33,680,6,1,40,2,7
McDonald's,Breakfast,Breakfast,Egg McMuffin,300,18,12,32,780,5,0,260,4,3
White Castle ,Breakfast,Breakfast,Huevos Rancheros w/Sausage Slider (Cincinnati region),310,15,22,14,700,9,0,195,1,2
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Bologna, Egg, Cheese",310,15,19,15,820,7,0,200,1,3
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Sausage, Egg, Cheese",310,15,22,13,630,8,0,195,1,2
White Castle ,Dessert,Dessert,Chocolate Shake  Cincinnati region  kids,310,7,8,53,170,5,0,15,0,42
Burger King,Breakfast,Breakfast,"CROISSANWICH Ham, Egg & Cheese",310,17,15,26,1030,7,0,165,1,5
Burger King,Dessert,Dessert,Oatmeal Raisin Cookies (2),310,4,13,46,260,8,0,20,3,26
Wendy's,Side,Side,Small Natural-Cut Fries,310,4,15,40,330,3,0,0,4,0
McDonald's,Burgers/Sandwiches,Burger,Grilled Onion Cheddar,310,15,13,33,660,6,1,40,2,7
Burger King,Dessert,Dessert,HERSHEYS Sundae Pie,310,3,19,32,220,12,0,10,1,22
Burger King,Burgers/Sandwiches,Burger,Bacon Cheeseburger,310,17,14,32,770,6,0,45,1,7
White Castle ,Burgers/Sandwiches,Chicken,Savory Grilled Chicken Slider  Western BBQ ,320,16,14,30,870,2.5,1,40,1,10
White Castle ,Burgers/Sandwiches,Chicken,Savory Grilled Chicken Slider  Western BBQ,320,16,16,28,910,3,1,40,2,9
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Bologna, Cheese",320,11,16,30,940,6,0,35,2,5
White Castle ,Breakfast,Breakfast,"Waffle Breakfast Sandwich w/Egg, Cheese ",320,10,18,17,380,9,0,170,1,0
Burger King,Breakfast,Breakfast,"CROISSANWICH Bacon, Egg & Cheese",320,13,18,25,710,8,0,165,1,4
Burger King,Burgers/Sandwiches,Veggie ,BK VEGGIE Burger w/o Mayo,320,22,7,43,960,1,0,0,7,8
White Castle ,Side,Side,Fish Nibblers   Small,320,16,16,28,700,3,0,10,1,1
Burger King,Side,Side,Onion Rings  small,320,3,16,41,840,3,0,0,3,4
Burger King,Burgers/Sandwiches,Burger,BK Bacon Burger,320,14,17,31,500,5,0,40,1,7
Burger King,Dessert,Dessert,Dutch Apple Pie,320,2,14,46,300,6,0,0,1,23
Burger King,Breakfast,Breakfast,BKBreakfast Muffin Sandwich Sausage and Cheese,330,14,20,23,750,7,0,45,1,1
Wendy's,Breakfast,Breakfast,Steel-Cut Oatmeal with Cranberries and Pecans,330,5,12,57,250,1,0,0,4,33
McDonald's,Side,Side,Honey Mustard Snack Wrap (Crispy),330,14,15,33,700,5,0,30,1,2
McDonald's,Burgers/Sandwiches,Chicken,Honey Mustard Snack Wrap (Crispy),330,14,15,33,700,5,0,30,1,2
McDonald's,Burgers/Sandwiches,Chicken,Chipotle BBQ Snack Wrap (Crispy),330,14,15,34,720,5,0,30,1,4
McDonald's,Side,Side,Chipotle BBQ Snack Wrap (Crispy),330,14,15,34,720,5,0,30,1,4
Burger King,Dessert,Dessert,Chocolate Chip Cookies (2),330,3,15,47,250,8,0,20,1,29
Wendy's,Burgers/Sandwiches,Chicken,Spicy Chicken Go Wrap,330,17,16,30,870,5,0,40,1,1
White Castle ,Side,Side,French Fries  Small,330,3,21,32,50,4,0,0,3,2
Burger King,Burgers/Sandwiches,Burger,Double Hamburger,330,19,15,31,490,6,0,60,1,7
McDonald's,Dessert,Dessert,Hot Fudge Sundae,330,8,9,53,170,7,0,25,1,48
McDonald's,Burgers/Sandwiches,Chicken,Mac Snack Wrap,330,14,19,26,670,7,1,45,1,3
McDonald's,Side,Side,Mac Snack Wrap,330,14,19,26,670,7,1,45,1,3
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Bacon, Egg, Cheese",340,17,19,29,880,7,0,190,2,4
Burger King,Dessert,Dessert,White Chocolate Macadamia Nut Cookies (2),340,4,18,44,240,8,0,20,0,28
White Castle ,Breakfast,Breakfast,Hash Round Nibblers (New Jersey)  Small,340,2,25,23,380,6,0,0,2,0
White Castle ,Side,Side,Onion Rings  New Jersey region  Medium,340,2,22,33,310,4,0,0,3,5
McDonald's,Dessert,Dessert,Snack Size McFlurry with OREO Cookies,340,8,11,53,190,6,0,30,1,43
White Castle ,Breakfast,Breakfast,Cloverhill Chocolate Iced Donuts ,340,2,22,29,180,12,0,0,1,20
Burger King,Side,Side,French Fries  small (Salted),340,4,15,49,480,3,0,0,4,0
Wendy's,Burgers/Sandwiches,Chicken,Homestyle Chicken Go Wrap,340,17,17,30,910,5,0,45,1,1
Burger King,Burgers/Sandwiches,Burger,WHOPPER JR. Sandwich,340,14,19,28,510,5,0,40,2,6
McDonald's,Dessert,Dessert,Hot Caramel Sundae,340,7,8,60,150,5,0,30,0,43
White Castle ,Burgers/Sandwiches,Fish,Fish Slider,340,11,24,18,410,5,0,20,1,2
Wendy's,Breakfast,Breakfast,Artisan Egg Sandwich with Applewood Smoked Bacon,350,18,18,29,730,8,0,250,1,4
McDonald's,Salad,Salad,Premium Caesar Salad with Crispy Chicken,350,23,18,24,740,5,0,55,4,7
McDonald's,Burgers/Sandwiches,Chicken,Premium Grilled Chicken Classic Sandwich,350,28,9,42,820,2,0,65,3,8
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Bologna, Egg",350,16,18,30,860,5,0,190,2,5
White Castle ,Side,Side,French Fries (New Jersey region)  Small,350,5,21,34,40,4.5,0,0,3,1
Burger King,Side,Side,Ranch Grilled Chicken Wrap,350,19,18,24,1020,5,0,55,1,1
McDonald's,Side,Side,Ranch Snack Wrap (Crispy),350,14,19,32,750,5,0,35,1,2
McDonald's,Burgers/Sandwiches,Chicken,Ranch Snack Wrap (Crispy),350,14,19,32,750,5,0,35,1,2
Wendy's,Salad,Salad,Apple Pecan Chicken Salad,350,35,11,27,970,7,0,115,5,17
Wendy's,Burgers/Sandwiches,Burger,Jr. Cheeseburger Deluxe,350,17,19,27,830,7,1,55,2,7
McDonald's,Breakfast,Breakfast,Hotcakes,350,8,9,60,590,2,0,20,3,14
McDonald's,Burgers/Sandwiches,Chicken,Premium McWrap Chicken Sweet Chili (Grilled),360,26,9,43,1030,3,0,65,2,9
Wendy's,Breakfast,Breakfast,Fresh-Baked Biscuit with Egg & Cheese,360,14,18,36,1060,11,0,230,2,4
Burger King,Burgers/Sandwiches,Chicken,Home-style Chicken Strips- 3pc,360,14,19,34,1400,4,0,30,1,0
White Castle ,Breakfast,Breakfast,Hash Round Nibblers  Small,360,2,28,25,460,4,0,0,2,0
McDonald's,Burgers/Sandwiches,Chicken,McChicken ,360,14,16,40,800,3,0,35,2,5
Burger King,Side,Side,Honey Mustard Grilled Chicken Wrap,370,19,19,29,950,5,0,55,1,6
Wendy's,Burgers/Sandwiches,Chicken,Ultimate Chicken Grill Sandwich,370,34,7,43,880,2,0,95,2,9
Burger King,Side,Side,Ranch Crispy Chicken Wrap,370,14,23,29,1010,6,1,35,2,1
Burger King,Burgers/Sandwiches,Burger,Double Cheeseburger,370,22,18,32,720,9,1,70,1,7
Burger King,Burgers/Sandwiches,Burger,BK Single Stacker,370,16,21,32,690,8,0,50,1,7
McDonald's,Breakfast,Breakfast,Sausage McMuffin,370,15,22,31,820,8,0,45,4,2
White Castle ,Breakfast,Breakfast,Huevos Rancheros Breakfast toast sandwich w/Sausage,380,16,23,30,880,8,0,200,2,5
White Castle ,Breakfast,Breakfast,"Waffle Breakfast Sandwich w/Sausage, Egg, Cheese ",380,13,23,17,570,11,0,180,1,0
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Bologna, Egg, Cheese",380,17,21,31,1000,7,0,200,2,5
Burger King,Side,Side,Chicken Caesar Garden Fresh Salad Wrap- grilled,380,21,18,37,1210,4,0,40,5,3
White Castle ,Breakfast,Breakfast,"Breakfast toast sandwich w/Sausage, Egg, Cheese",380,16,23,29,810,8,0,200,2,4
White Castle ,Breakfast,Breakfast,Chicken & Waffles w/Grilled Chicken Breast ,380,15,20,20,730,8,0.5,45,2,1
Burger King,Burgers/Sandwiches,Burger,WHOPPER JR. Sandwich with Cheese,380,16,23,29,730,8,1,55,2,6
McDonald's,Dessert,Dessert,Snack Size Holiday Mint McFlurry,380,8,14,56,110,10,0,30,0,51
Burger King,Breakfast,Breakfast,French Toast Sticks (5 piece),380,5,18,49,430,3,0,0,2,13
White Castle ,Breakfast,Breakfast,Cloverhill Apple Danish ,380,5,16,61,350,8,0,5,2,34
Wendy's,Burgers/Sandwiches,Chicken,Crispy Chicken Sandwich,380,15,20,35,680,4,0,35,3,4
Burger King,Burgers/Sandwiches,Chicken,Chicken Nuggets (8 pc),380,20,22,20,610,5,0,50,2,0
Wendy's,Salad,Salad,Chicken BLT Cobb Salad,380,44,18,11,1190,9,0,260,3,4
McDonald's,Side,Side,Medium French Fries,380,4,19,48,270,3,0,0,5,0
White Castle ,Burgers/Sandwiches,Chicken,Chicken Ring Slider,380,10,30,16,460,7,0,40,1,2
Burger King,Breakfast,Breakfast,"BKBreakfast Muffin Sandwich Sausage, egg and Cheese",390,20,23,23,960,9,0,195,1,2
Burger King,Breakfast,Breakfast,"DOUBLE CROISSANWICH w/ Ham, Bacon, Egg, & Cheese",390,22,22,26,1350,10,0,190,1,5
McDonald's,Salad,Salad,Premium Bacon Ranch Salad with Crispy Chicken,390,26,22,24,870,6,0,70,4,7
Burger King,Breakfast,Breakfast,"DOUBLE CROISSANWICH w/ Bacon, Egg, & Cheese",390,18,24,25,1020,11,0,180,1,4
Wendy's,Breakfast,Breakfast,Toasted Bagel Sandwich with Egg and Cheddar,390,19,10,56,700,5,0,225,4,7
Burger King,Breakfast,Breakfast,"DOUBLE CROISSANWICH w/ ham, Egg, & Cheese",390,26,19,27,1670,9,0,185,1,6
White Castle ,Burgers/Sandwiches,Burger,Double Bacon Jalapeno Cheese Slider,390,21,27,21,1230,12,1,55,1,2
Burger King,Side,Side,Honey Mustard Crispy Chicken Wrap,390,14,23,34,930,6,0,35,2,6
Burger King,Breakfast,Breakfast,CROISSANWICH Sausage & Cheese,390,13,26,25,700,10,0,45,1,3
Wendy's,Burgers/Sandwiches,Burger,Jr. Bacon Cheeseburger (JBC),390,20,22,26,870,8,1,65,2,5
Burger King,Breakfast,Breakfast,"Ham, Egg, & Cheese Biscuit",390,19,19,33,1600,14,1,165,1,4
Wendy's,Dessert,Dessert,Chocolate Chunk Cookie,390,4,21,51,270,11,0,25,2,30
White Castle ,Burgers/Sandwiches,Chicken,Chicken Breast Slider,390,13,28,20,650,6,0,25,1,2
McDonald's,Burgers/Sandwiches,Fish ,Filet-O-Fish,390,15,19,39,590,4,0,40,2,5
Wendy's,Dessert,Dessert,Sugar Cookie,390,4,19,53,360,9,0,30,1,28
Burger King,Burgers/Sandwiches,Chicken,Tacos (2),390,14,16,18,710,7,1,30,5,4
McDonald's,Burgers/Sandwiches,Burger,McDouble,390,23,19,33,850,8,1,65,2,7
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,20,15,47,1250,7,0,35,2,16
Burger King,Burgers/Sandwiches,Chicken,Premium Chicken Sandwich- Grilled w/o Mayo,400,31,11,43,1260,2,0,70,2,5
McDonald's,Breakfast,Breakfast,Sausage McMuffin with Egg Whites,400,22,22,31,910,8,0,50,5,2
White Castle ,Burgers/Sandwiches,Burger,Double Bacon Cheese Slider,400,21,27,21,1220,12,1,55,1,2
White Castle ,Side,Side,Cheese Fries  Small,400,4,27,35,350,5,0,0,3,2
Wendy's,Dessert,Dessert,Chocolate Brownie,400,5,18,57,190,5,0,75,3,44
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese Biscuit w/ Egg Whites (RegularBiscuit)",410,20,20,36,1300,11,0,35,2,3
McDonald's,Breakfast,Breakfast,Southern Style Chicken Biscuit (Regular Size Biscuit),410,17,20,41,1180,8,0,30,2,3
McDonald's,Dessert,Dessert,Snack Size McFlurry with Reeses Peanut Butter Cup ,410,10,16,57,200,8,0,30,1,51
Burger King,Burgers/Sandwiches,Fish ,Premium Alaskan Fish Sandwich w/o Tartar Sauce,410,21,12,53,1240,2,0,30,3,6
White Castle ,Dessert,Dessert,Chocolate Shake Minneapolis region  small,410,9,9,78,410,4.5,0,45,0,64
White Castle ,Side,Side,Cheese Fries (New Jersey region)  Small,410,4,28,35,350,5,0,0,3,2
White Castle ,Dessert,Dessert,Vanilla Shake  Columbus region  small,410,13,11,67,470,8,0,45,0,63
Burger King,Side,Side,French Fries  medium (Salted),410,4,18,58,570,3,0,0,4,0
Wendy's,Side,Side,Medium Natural-Cut Fries,410,5,20,52,440,4,0,0,5,0
White Castle ,Side,Side,Clam Strips   Medium,410,16,34,9,1250,5.5,0,35,0,2
Burger King,Side,Side,Onion Rings  medium,410,4,21,53,1080,4,0,0,4,5
Burger King,Burgers/Sandwiches,Veggie ,BK VEGGIE Burger,410,22,16,44,1030,3,0,5,7,8
Wendy's,Breakfast,Breakfast,Fresh-Baked Biscuit with Applewood Smoked Bacon,420,17,23,36,1260,13,0,240,2,4
Burger King,Side,Side,Chicken BLT Garden Fresh Salad Wrap- grilled,420,22,22,36,1280,6,0,55,4,3
McDonald's,Burgers/Sandwiches,Chicken,Premium McWrap Chicken & Ranch (Grilled),420,30,16,41,1130,6,0,80,3,5
McDonald's,Burgers/Sandwiches,Chicken,Southern Style Crispy Chicken Sandwich,420,21,19,43,900,3,0,45,2,7
Burger King,Burgers/Sandwiches,Chicken,Original Chicken Sandwich w/o Mayo,420,24,16,46,1210,4,0,45,3,4
Burger King,Breakfast,Breakfast,"Bacon, Egg & Cheese Biscuit",420,17,25,32,1400,16,1,160,1,4
Burger King,Breakfast,Breakfast,Country Ham and Egg Biscuit,420,18,23,32,1990,15,1,185,1,3
White Castle ,Burgers/Sandwiches,Chicken,Chicken Supreme Slider,420,14,31,20,750,7,0,30,1,2
White Castle ,Breakfast,Breakfast,Awrey Cinnamon Roll ,420,6,20,56,460,8,0,5,2,22
McDonald's,Breakfast,Breakfast,Sausage McGriddles,420,11,22,44,1030,8,0,35,2,15
Burger King,Breakfast,Breakfast,Sausage Biscuit,420,13,27,32,1090,15,1,35,1,3
Wendy's,Burgers/Sandwiches,Burger,Double Stack,420,27,21,26,1060,10,2,90,2,6
Burger King,Side,Side,Chicken Apple and Cranberry Garden Fresh Salad Wrap- grilled,430,19,18,47,980,5,0,45,4,17
White Castle ,Dessert,Dessert,Chocolate Shake  New Jersey Region  small,430,14,12,73,370,7,0,40,3,57
McDonald's,Breakfast,Breakfast,Sausage Biscuit (Regular Size Biscuit),430,11,27,34,1080,12,0,30,2,2
McDonald's,Dessert,Dessert,Snack Size McFlurry with M&MS Candies,430,9,15,64,120,10,0,35,1,59
White Castle ,Breakfast,Breakfast,Cloverhill Cheese Danish ,430,6,17,62,360,9,0,10,1,35
McDonald's,Burgers/Sandwiches,Chicken,Premium Grilled Chicken Ranch BLT Sandwich,440,36,14,43,1210,4,0,90,3,9
White Castle ,Dessert,Dessert,Vanilla Shake  New Jersey Region  small,440,16,12,65,460,8,0,55,0,54
White Castle ,Dessert,Dessert,Chocolate Shake  Detroit region  small,440,12,12,68,400,6,0,40,0,68
White Castle ,Side,Side,Mozzarella Cheese Sticks  3 Sticks,440,12,33,22,850,9,0,30,1,1
Wendy's,Burgers/Sandwiches,Chicken,Crispy Chicken Caesar Wrap,440,17,26,33,970,7,0,45,2,1
Burger King,Burgers/Sandwiches,Burger,Double Bacon Cheeseburger,440,26,24,32,940,10,1,85,1,7
McDonald's,Burgers/Sandwiches,Burger,Double Cheeseburger,440,25,23,34,1050,11,2,80,2,7
McDonald's,Burgers/Sandwiches,Burger,Daily Double,440,23,24,33,770,9,2,70,2,7
Burger King,Dessert,Dessert,OREO Sundae,440,8,12,77,390,7,0,25,1,57
McDonald's,Salad,Salad,Premium Southwest Salad with Crispy Chicken,450,23,21,42,820,5,0,50,7,13
Wendy's,Breakfast,Breakfast,Mornin Melt Panini with Egg & Cheese,450,25,27,33,560,15,1,270,1,3
Burger King,Breakfast,Breakfast,"CROISSANWICH Sausage, Egg & Cheese",450,19,30,26,910,11,0,195,1,4
Burger King,Burgers/Sandwiches,Veggie ,BK VEGGIE Burger w/ Cheese,450,24,20,44,1250,5,0,20,7,8
McDonald's,Breakfast,Breakfast,Sausage McMuffin with Egg,450,21,27,32,890,10,0,285,4,2
Wendy's,Burgers/Sandwiches,Chicken,10-Piece Chicken Nuggets,450,23,30,24,870,7,0,75,2,0
Burger King,Dessert,Dessert,Mini M & M Sundae,450,8,13,76,310,9,0,30,0,62
McDonald's,Breakfast,Breakfast,Sausage Biscuit with Egg Whites (Regular Size Biscuit),460,18,27,34,1180,12,0,35,2,3
White Castle ,Side,Side,Fully Loaded Cheese Fries  (New Jersey region)  Small,460,4,38,20,900,8,0,20,2,3
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",460,19,26,38,1300,13,0,250,2,3
Burger King,Side,Side,Chicken Caesar Garden Fresh Salad Wrap- crispy,460,21,23,44,1260,5,0,35,5,4
McDonald's,Burgers/Sandwiches,Chicken,Premium McWrap Chicken & Bacon (Grilled),460,35,18,40,1330,7,0,95,3,4
White Castle ,Breakfast,Breakfast,Cloverhill Big Texas Cinnamon Danish ,460,6,20,63,420,10,0,10,2,33
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese McGriddles",460,19,21,48,1250,9,0,250,2,15
White Castle ,Breakfast,Breakfast,French Toast Sticks (4pc),460,5,31,39,410,5,0,0,2,10
White Castle ,Side,Side,Fully Loaded Fries  Small,460,4,38,20,900,8,0,20,2,3
Wendy's,Breakfast,Breakfast,Sausage Gravy & Biscuit,460,9,24,51,1530,12,0,20,2,5
Wendy's,Breakfast,Breakfast,Sausage Biscuit,460,13,29,37,1110,14,0,50,2,4
McDonald's,Breakfast,Breakfast,Cinnamon Melts,460,6,19,66,370,9,0,15,3,32
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,20,25,42,1420,12,0,35,3,4
McDonald's,Breakfast,Breakfast,Southern Style Chicken Biscuit (Large Size Biscuit),470,17,24,46,1290,9,0,30,3,4
White Castle ,Breakfast,Breakfast,"Waffle Breakfast Sandwich w/Bacon, Egg, Cheese ",470,15,32,17,690,14,0,200,1,0
White Castle ,Dessert,Dessert,Vanilla Shake  Chicago region  small,470,12,8,85,360,5,0,35,2,72
Wendy's,Breakfast,Breakfast,"Sunny Side Burger, Jr. Single",470,28,27,29,1010,12,1,290,1,4
