Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
Burger King,Burgers/Sandwiches,Fish ,Premium Alaskan Fish Sandwich,590,21,31,57,1480,5,0,45,3,8
White Castle ,Side,Side,Fish Nibblers   Medium,590,30,29,51,1300,5,0,20,2,2
Wendy's,Breakfast,Breakfast,Toasted Bagel Sandwich with All-Natural Sausage,600,28,29,57,1040,11,0,270,4,8
McDonald's,Burgers/Sandwiches,Burger,Quarter Pounder Bacon & Cheese+,600,37,29,48,1440,13,2,105,3,12
White Castle ,Breakfast,Breakfast,Hash Round Nibblers  Medium,600,4,46,42,760,7,0,0,4,0
White Castle ,Side,Side,French Fries  Medium,600,6,39,57,85,7,0,0,6,3
McDonald's,Burgers/Sandwiches,Burger,Quarter Pounder Bacon Habanero Ranch+,610,37,31,46,1180,13,2,105,3,10
Burger King,Burgers/Sandwiches,Chicken,Home-style Chicken Strips- 5pc,610,23,32,57,2340,6,1,50,1,1
White Castle ,Burgers/Sandwiches,Fish,Double Fish Slider w/ Cheese,610,19,48,25,700,10,0,45,1,2
White Castle ,Dessert,Dessert,Chocolate Shake  New Jersey Region  medium,620,19,17,104,520,10,0,60,4,81
White Castle ,Dessert,Dessert,Vanilla Shake  New Jersey Region  medium,620,23,18,94,660,12,0,80,0,78
McDonald's,Burgers/Sandwiches,Chicken,Premium McWrap Chicken & Bacon (Crispy),620,32,31,54,1490,9,1,75,3,6
White Castle ,Dessert,Dessert,Chocolate Shake  Detroit region  medium,620,17,17,96,570,9,0,55,0,96
White Castle ,Side,Side,Clam Strips   Sack,620,24,51,14,1870,8,0,50,0,3
White Castle ,Dessert,Dessert,Strawberry Shake  Cincinnati region  small,630,14,16,109,350,11,0,35,0,88
White Castle ,Side,Side,French Fries (New Jersey region)  Medium,630,9,39,60,70,9,0,0,6,3
White Castle ,Dessert,Dessert,Vanilla Shake  Cincinnati region  small,630,14,16,109,350,11,0,35,0,88
Burger King,Burgers/Sandwiches,Chicken,Original Chicken Sandwich,630,24,39,46,1390,7,1,65,3,4
McDonald's,Breakfast,Breakfast,"Bacon, Egg & Cheese Bagel",630,30,32,57,1490,11,1,275,3,7
Burger King,Burgers/Sandwiches,Burger,BK Triple Stacker,630,36,41,32,1040,17,1,130,1,7
Burger King,Burgers/Sandwiches,Burger,WHOPPER Sandwich,630,25,35,57,980,10,1,65,3,13
McDonald's,Breakfast,Breakfast,Big Breakfast with Egg Whites (Regular Size Biscuit),640,26,37,50,1590,14,0,35,3,3
McDonald's,Burgers/Sandwiches,Chicken,Chicken Selects Premium Breast Strips (5 pc),640,38,38,36,1240,6,0,90,1,0
White Castle ,Side,Side,Onion Rings  New Jersey region  Large,640,4,41,62,580,7,0,0,6,9
Wendy's,Breakfast,Breakfast,Mornin Melt Panini with All-Natural Sausage,650,34,46,33,900,22,1,315,1,3
